,DATETIME,TempG,HumidityG,BarometerG,TempM,HumidityM,BarometerM,TOTALDEMAND
0,2019-05-01 02:00:00,18,43,1009,17,34,1010,3818.0
1,2019-05-01 03:00:00,18,44,1009,15,42,1009,3544.0
2,2019-05-01 05:00:00,19,41,1009,16,45,1010,3539.39
3,2019-05-01 06:00:00,19,44,1010,19,43,1010,3860.35
4,2019-05-01 08:00:00,17,65,1010,18,56,1012,5074.16
5,2019-05-01 09:00:00,18,70,1012,17,68,1011,5087.49
6,2019-05-01 12:00:00,23,51,1011,21,60,1013,4839.09
7,2019-05-01 14:00:00,23,45,1011,21,60,1012,4803.5
8,2019-05-01 15:00:00,23,47,1012,22,57,1012,4857.83
9,2019-05-01 17:00:00,18,92,1012,20,69,1012,5275.75
10,2019-05-01 18:00:00,18,94,1013,20,69,1013,5653.07
11,2019-05-01 20:00:00,17,95,1014,20,69,1015,5339.16
12,2019-05-01 21:00:00,17,96,1014,20,73,1014,5043.52
13,2019-05-01 23:00:00,19,93,1013,20,69,1014,4354.99
14,2019-05-02 00:00:00,19,93,1013,20,69,1014,4510.15
15,2019-05-02 02:00:00,18,94,1014,18,83,1013,3895.9
16,2019-05-02 03:00:00,15,95,1013,18,88,1013,3775.67
17,2019-05-02 05:00:00,15,96,1014,18,88,1015,3806.95
18,2019-05-02 06:00:00,16,96,1015,16,88,1015,4087.09
19,2019-05-02 08:00:00,15,95,1017,16,83,1018,5108.82
20,2019-05-02 09:00:00,15,95,1018,17,77,1018,5120.58
21,2019-05-02 11:00:00,16,89,1017,17,77,1018,4917.68
22,2019-05-02 12:00:00,18,73,1016,18,73,1017,4707.14
23,2019-05-02 14:00:00,21,60,1014,19,73,1016,4868.64
24,2019-05-02 15:00:00,21,50,1014,19,68,1015,4806.69
25,2019-05-02 17:00:00,20,43,1014,19,52,1015,5209.45
26,2019-05-02 18:00:00,20,47,1014,18,56,1015,5587.15
27,2019-05-02 20:00:00,18,57,1016,16,72,1016,5246.87
28,2019-05-02 21:00:00,18,62,1015,15,77,1016,5037.5
29,2019-05-02 23:00:00,17,72,1016,15,72,1016,4484.54
30,2019-05-03 00:00:00,16,75,1016,15,72,1016,4723.46
31,2019-05-03 02:00:00,14,84,1016,14,82,1016,3992.77
32,2019-05-03 03:00:00,13,85,1016,14,82,1016,3728.11
33,2019-05-03 05:00:00,12,86,1016,12,94,1016,3794.15
34,2019-05-03 06:00:00,10,91,1016,11,94,1016,4181.23
35,2019-05-03 08:00:00,12,92,1017,13,77,1016,5182.12
36,2019-05-03 09:00:00,14,77,1017,15,72,1017,5013.3
