Date,Time,Temp,Humidity,Barometer
01-May-19,12:00 AM,18ʡC,35%,1009 mbar
01-May-19,2:00 AM,18ʡC,35%,1009 mbar
01-May-19,3:00 AM,17ʡC,36%,1009 mbar
01-May-19,5:00 AM,18ʡC,40%,1009 mbar
01-May-19,6:00 AM,15ʡC,65%,1010 mbar
01-May-19,8:00 AM,15ʡC,79%,1010 mbar
01-May-19,9:00 AM,16ʡC,76%,1011 mbar
01-May-19,11:00 AM,20ʡC,59%,1012 mbar
01-May-19,12:00 PM,21ʡC,55%,1012 mbar
01-May-19,2:00 PM,21ʡC,51%,1012 mbar
01-May-19,3:00 PM,21ʡC,52%,1012 mbar
01-May-19,5:00 PM,17ʡC,81%,1012 mbar
01-May-19,6:00 PM,16ʡC,87%,1013 mbar
01-May-19,8:00 PM,15ʡC,88%,1014 mbar
01-May-19,9:00 PM,15ʡC,90%,1014 mbar
01-May-19,11:00 PM,16ʡC,91%,1014 mbar
02-May-19,12:00 AM,17ʡC,88%,1013 mbar
02-May-19,2:00 AM,15ʡC,88%,1014 mbar
02-May-19,3:00 AM,15ʡC,85%,1013 mbar
02-May-19,5:00 AM,15ʡC,86%,1015 mbar
02-May-19,6:00 AM,14ʡC,87%,1016 mbar
02-May-19,8:00 AM,14ʡC,88%,1017 mbar
02-May-19,9:00 AM,14ʡC,79%,1018 mbar
02-May-19,11:00 AM,17ʡC,67%,1017 mbar
02-May-19,12:00 PM,18ʡC,59%,1016 mbar
02-May-19,2:00 PM,20ʡC,41%,1015 mbar
02-May-19,3:00 PM,20ʡC,43%,1015 mbar
02-May-19,5:00 PM,18ʡC,45%,1014 mbar
02-May-19,6:00 PM,17ʡC,53%,1015 mbar
02-May-19,8:00 PM,15ʡC,72%,1016 mbar
02-May-19,9:00 PM,14ʡC,75%,1016 mbar
02-May-19,11:00 PM,13ʡC,84%,1016 mbar
03-May-19,12:00 AM,13ʡC,85%,1016 mbar
03-May-19,2:00 AM,10ʡC,86%,1017 mbar
03-May-19,3:00 AM,9ʡC,90%,1016 mbar
03-May-19,5:00 AM,8ʡC,93%,1016 mbar
03-May-19,6:00 AM,8ʡC,93%,1016 mbar
03-May-19,8:00 AM,9ʡC,92%,1017 mbar
03-May-19,9:00 AM,12ʡC,84%,1017 mbar
03-May-19,11:00 AM,16ʡC,51%,1016 mbar
03-May-19,12:00 PM,17ʡC,51%,1016 mbar
03-May-19,2:00 PM,18ʡC,47%,1014 mbar
03-May-19,3:00 PM,17ʡC,43%,1014 mbar
03-May-19,5:00 PM,16ʡC,51%,1014 mbar
03-May-19,6:00 PM,14ʡC,56%,1014 mbar
03-May-19,8:00 PM,14ʡC,59%,1015 mbar
03-May-19,9:00 PM,14ʡC,60%,1015 mbar
03-May-19,11:00 PM,13ʡC,66%,1016 mbar
04-May-19,12:00 AM,12ʡC,70%,1015 mbar
04-May-19,2:00 AM,12ʡC,89%,1016 mbar
04-May-19,3:00 AM,11ʡC,90%,1016 mbar
04-May-19,5:00 AM,11ʡC,90%,1017 mbar
04-May-19,6:00 AM,11ʡC,90%,1018 mbar
04-May-19,8:00 AM,10ʡC,90%,1019 mbar
04-May-19,9:00 AM,10ʡC,81%,1020 mbar
04-May-19,11:00 AM,12ʡC,74%,1021 mbar
04-May-19,12:00 PM,12ʡC,73%,1021 mbar
04-May-19,2:00 PM,15ʡC,66%,1021 mbar
04-May-19,3:00 PM,14ʡC,73%,1021 mbar
04-May-19,5:00 PM,12ʡC,69%,1023 mbar
04-May-19,6:00 PM,11ʡC,75%,1023 mbar
04-May-19,8:00 PM,11ʡC,73%,1024 mbar
04-May-19,9:00 PM,11ʡC,78%,1025 mbar
04-May-19,11:00 PM,11ʡC,77%,1025 mbar
05-May-19,12:00 AM,11ʡC,77%,1025 mbar
05-May-19,2:00 AM,10ʡC,81%,1025 mbar
05-May-19,3:00 AM,10ʡC,86%,1025 mbar
05-May-19,5:00 AM,10ʡC,91%,1025 mbar
05-May-19,6:00 AM,10ʡC,91%,1026 mbar
