Date,Time,Temp,Humidity,Barometer
01-May-19,12:00 AM,18ʡC,53%,1010 mbar
01-May-19,2:00 AM,18ʡC,43%,1009 mbar
01-May-19,3:00 AM,18ʡC,44%,1009 mbar
01-May-19,5:00 AM,19ʡC,41%,1009 mbar
01-May-19,6:00 AM,19ʡC,44%,1010 mbar
01-May-19,8:00 AM,17ʡC,65%,1010 mbar
01-May-19,9:00 AM,18ʡC,70%,1012 mbar
01-May-19,11:00 AM,21ʡC,61%,1012 mbar
01-May-19,12:00 PM,23ʡC,51%,1011 mbar
01-May-19,2:00 PM,23ʡC,45%,1011 mbar
01-May-19,3:00 PM,23ʡC,47%,1012 mbar
01-May-19,5:00 PM,18ʡC,92%,1012 mbar
01-May-19,6:00 PM,18ʡC,94%,1013 mbar
01-May-19,8:00 PM,17ʡC,95%,1014 mbar
01-May-19,9:00 PM,17ʡC,96%,1014 mbar
01-May-19,11:00 PM,19ʡC,93%,1013 mbar
02-May-19,12:00 AM,19ʡC,93%,1013 mbar
02-May-19,2:00 AM,18ʡC,94%,1014 mbar
02-May-19,3:00 AM,15ʡC,95%,1013 mbar
02-May-19,5:00 AM,15ʡC,96%,1014 mbar
02-May-19,6:00 AM,16ʡC,96%,1015 mbar
02-May-19,8:00 AM,15ʡC,95%,1017 mbar
02-May-19,9:00 AM,15ʡC,95%,1018 mbar
02-May-19,11:00 AM,16ʡC,89%,1017 mbar
02-May-19,12:00 PM,18ʡC,73%,1016 mbar
02-May-19,2:00 PM,21ʡC,60%,1014 mbar
02-May-19,3:00 PM,21ʡC,50%,1014 mbar
02-May-19,5:00 PM,20ʡC,43%,1014 mbar
02-May-19,6:00 PM,20ʡC,47%,1014 mbar
02-May-19,8:00 PM,18ʡC,57%,1016 mbar
02-May-19,9:00 PM,18ʡC,62%,1015 mbar
02-May-19,11:00 PM,17ʡC,72%,1016 mbar
03-May-19,12:00 AM,16ʡC,75%,1016 mbar
03-May-19,2:00 AM,14ʡC,84%,1016 mbar
03-May-19,3:00 AM,13ʡC,85%,1016 mbar
03-May-19,5:00 AM,12ʡC,86%,1016 mbar
03-May-19,6:00 AM,10ʡC,91%,1016 mbar
03-May-19,8:00 AM,12ʡC,92%,1017 mbar
03-May-19,9:00 AM,14ʡC,77%,1017 mbar
03-May-19,11:00 AM,17ʡC,52%,1016 mbar
03-May-19,12:00 PM,19ʡC,47%,1015 mbar
03-May-19,2:00 PM,18ʡC,48%,1014 mbar
03-May-19,3:00 PM,19ʡC,46%,1014 mbar
03-May-19,5:00 PM,18ʡC,45%,1014 mbar
03-May-19,6:00 PM,15ʡC,57%,1014 mbar
03-May-19,8:00 PM,16ʡC,54%,1015 mbar
03-May-19,9:00 PM,16ʡC,58%,1015 mbar
03-May-19,11:00 PM,14ʡC,69%,1015 mbar
04-May-19,12:00 AM,14ʡC,75%,1015 mbar
04-May-19,2:00 AM,13ʡC,92%,1015 mbar
04-May-19,3:00 AM,13ʡC,93%,1016 mbar
04-May-19,5:00 AM,12ʡC,93%,1017 mbar
04-May-19,6:00 AM,12ʡC,93%,1017 mbar
04-May-19,8:00 AM,12ʡC,93%,1019 mbar
04-May-19,9:00 AM,13ʡC,86%,1020 mbar
04-May-19,11:00 AM,16ʡC,64%,1020 mbar
04-May-19,12:00 PM,15ʡC,77%,1020 mbar
04-May-19,2:00 PM,16ʡC,76%,1021 mbar
04-May-19,3:00 PM,16ʡC,67%,1021 mbar
04-May-19,5:00 PM,14ʡC,73%,1022 mbar
04-May-19,6:00 PM,13ʡC,79%,1023 mbar
04-May-19,8:00 PM,13ʡC,80%,1024 mbar
04-May-19,9:00 PM,12ʡC,87%,1024 mbar
04-May-19,11:00 PM,12ʡC,88%,1024 mbar
05-May-19,12:00 AM,12ʡC,84%,1025 mbar
05-May-19,2:00 AM,11ʡC,93%,1025 mbar
05-May-19,3:00 AM,11ʡC,93%,1025 mbar
05-May-19,5:00 AM,12ʡC,91%,1025 mbar
05-May-19,6:00 AM,12ʡC,91%,1025 mbar
05-May-19,8:00 AM,12ʡC,93%,1025 mbar
05-May-19,9:00 AM,13ʡC,91%,1026 mbar
05-May-19,11:00 AM,16ʡC,70%,1026 mbar
05-May-19,12:00 PM,17ʡC,62%,1026 mbar
05-May-19,2:00 PM,17ʡC,59%,1025 mbar
05-May-19,3:00 PM,16ʡC,61%,1025 mbar
05-May-19,5:00 PM,14ʡC,69%,1025 mbar
05-May-19,6:00 PM,13ʡC,76%,1025 mbar
05-May-19,8:00 PM,12ʡC,92%,1025 mbar
05-May-19,9:00 PM,12ʡC,90%,1025 mbar
05-May-19,11:00 PM,12ʡC,93%,1025 mbar
06-May-19,12:00 AM,12ʡC,93%,1024 mbar
06-May-19,2:00 AM,11ʡC,94%,1024 mbar
06-May-19,3:00 AM,12ʡC,95%,1023 mbar
06-May-19,5:00 AM,11ʡC,95%,1023 mbar
06-May-19,6:00 AM,11ʡC,95%,1023 mbar
06-May-19,8:00 AM,12ʡC,95%,1023 mbar
06-May-19,9:00 AM,12ʡC,94%,1024 mbar
06-May-19,11:00 AM,16ʡC,64%,1023 mbar
06-May-19,12:00 PM,16ʡC,56%,1022 mbar
06-May-19,2:00 PM,17ʡC,55%,1021 mbar
06-May-19,3:00 PM,17ʡC,52%,1020 mbar
06-May-19,5:00 PM,14ʡC,70%,1019 mbar
06-May-19,6:00 PM,13ʡC,79%,1019 mbar
06-May-19,8:00 PM,10ʡC,93%,1019 mbar
06-May-19,9:00 PM,10ʡC,93%,1019 mbar
06-May-19,11:00 PM,9ʡC,94%,1018 mbar
07-May-19,12:00 AM,8ʡC,94%,1018 mbar
07-May-19,2:00 AM,8ʡC,96%,1016 mbar
07-May-19,3:00 AM,7ʡC,96%,1016 mbar
07-May-19,5:00 AM,7ʡC,96%,1014 mbar
07-May-19,6:00 AM,7ʡC,96%,1014 mbar
07-May-19,8:00 AM,8ʡC,96%,1014 mbar
07-May-19,9:00 AM,11ʡC,93%,1014 mbar
07-May-19,11:00 AM,16ʡC,67%,1012 mbar
07-May-19,12:00 PM,19ʡC,46%,1011 mbar
07-May-19,2:00 PM,20ʡC,41%,1008 mbar
07-May-19,3:00 PM,20ʡC,39%,1007 mbar
07-May-19,5:00 PM,18ʡC,45%,1007 mbar
07-May-19,6:00 PM,18ʡC,48%,1006 mbar
07-May-19,8:00 PM,16ʡC,55%,1006 mbar
07-May-19,9:00 PM,14ʡC,78%,1007 mbar
07-May-19,11:00 PM,12ʡC,93%,1006 mbar
08-May-19,12:00 AM,12ʡC,93%,1006 mbar
08-May-19,2:00 AM,11ʡC,95%,1006 mbar
08-May-19,3:00 AM,11ʡC,95%,1006 mbar
08-May-19,5:00 AM,11ʡC,93%,1007 mbar
08-May-19,6:00 AM,11ʡC,93%,1008 mbar
08-May-19,8:00 AM,12ʡC,93%,1010 mbar
08-May-19,9:00 AM,13ʡC,93%,1011 mbar
08-May-19,11:00 AM,14ʡC,88%,1012 mbar
08-May-19,12:00 PM,14ʡC,84%,1012 mbar
08-May-19,2:00 PM,16ʡC,54%,1013 mbar
08-May-19,3:00 PM,15ʡC,60%,1013 mbar
08-May-19,5:00 PM,14ʡC,66%,1015 mbar
08-May-19,6:00 PM,12ʡC,71%,1015 mbar
08-May-19,8:00 PM,11ʡC,92%,1016 mbar
08-May-19,9:00 PM,10ʡC,93%,1016 mbar
08-May-19,11:00 PM,9ʡC,93%,1016 mbar
09-May-19,12:00 AM,8ʡC,93%,1015 mbar
09-May-19,2:00 AM,11ʡC,78%,1014 mbar
09-May-19,3:00 AM,12ʡC,75%,1013 mbar
09-May-19,5:00 AM,12ʡC,75%,1013 mbar
09-May-19,6:00 AM,12ʡC,78%,1012 mbar
09-May-19,8:00 AM,12ʡC,77%,1012 mbar
09-May-19,9:00 AM,13ʡC,72%,1012 mbar
09-May-19,11:00 AM,16ʡC,54%,1011 mbar
09-May-19,12:00 PM,17ʡC,49%,1009 mbar
09-May-19,2:00 PM,17ʡC,47%,1008 mbar
09-May-19,3:00 PM,16ʡC,49%,1007 mbar
09-May-19,5:00 PM,16ʡC,51%,1008 mbar
09-May-19,6:00 PM,16ʡC,52%,1008 mbar
09-May-19,8:00 PM,12ʡC,93%,1010 mbar
09-May-19,9:00 PM,11ʡC,95%,1010 mbar
09-May-19,11:00 PM,10ʡC,95%,1010 mbar
10-May-19,12:00 AM,10ʡC,95%,1010 mbar
10-May-19,2:00 AM,10ʡC,96%,1010 mbar
10-May-19,3:00 AM,10ʡC,96%,1009 mbar
10-May-19,5:00 AM,11ʡC,96%,1009 mbar
10-May-19,6:00 AM,12ʡC,97%,1010 mbar
10-May-19,8:00 AM,11ʡC,97%,1012 mbar
10-May-19,9:00 AM,11ʡC,96%,1013 mbar
10-May-19,11:00 AM,12ʡC,93%,1014 mbar
10-May-19,12:00 PM,12ʡC,97%,1014 mbar
10-May-19,2:00 PM,12ʡC,91%,1015 mbar
10-May-19,3:00 PM,12ʡC,86%,1016 mbar
10-May-19,5:00 PM,13ʡC,70%,1018 mbar
10-May-19,6:00 PM,12ʡC,69%,1019 mbar
10-May-19,8:00 PM,11ʡC,69%,1021 mbar
10-May-19,9:00 PM,11ʡC,71%,1022 mbar
10-May-19,11:00 PM,10ʡC,67%,1023 mbar
11-May-19,12:00 AM,11ʡC,65%,1023 mbar
11-May-19,2:00 AM,10ʡC,74%,1023 mbar
11-May-19,3:00 AM,10ʡC,75%,1023 mbar
11-May-19,5:00 AM,10ʡC,85%,1024 mbar
11-May-19,6:00 AM,9ʡC,93%,1024 mbar
11-May-19,8:00 AM,9ʡC,95%,1025 mbar
11-May-19,9:00 AM,11ʡC,95%,1025 mbar
11-May-19,11:00 AM,14ʡC,93%,1026 mbar
11-May-19,12:00 PM,14ʡC,93%,1025 mbar
11-May-19,2:00 PM,15ʡC,83%,1024 mbar
11-May-19,3:00 PM,15ʡC,83%,1025 mbar
11-May-19,5:00 PM,15ʡC,80%,1025 mbar
11-May-19,6:00 PM,14ʡC,89%,1026 mbar
11-May-19,8:00 PM,12ʡC,93%,1027 mbar
11-May-19,9:00 PM,12ʡC,93%,1027 mbar
11-May-19,11:00 PM,12ʡC,93%,1027 mbar
12-May-19,12:00 AM,12ʡC,93%,1027 mbar
12-May-19,2:00 AM,12ʡC,93%,1026 mbar
12-May-19,3:00 AM,12ʡC,93%,1026 mbar
12-May-19,5:00 AM,12ʡC,94%,1026 mbar
12-May-19,6:00 AM,12ʡC,94%,1027 mbar
12-May-19,8:00 AM,12ʡC,94%,1028 mbar
12-May-19,9:00 AM,13ʡC,93%,1028 mbar
12-May-19,11:00 AM,15ʡC,82%,1028 mbar
12-May-19,12:00 PM,14ʡC,93%,1028 mbar
12-May-19,2:00 PM,16ʡC,73%,1026 mbar
12-May-19,3:00 PM,17ʡC,71%,1026 mbar
12-May-19,5:00 PM,16ʡC,71%,1027 mbar
12-May-19,6:00 PM,15ʡC,75%,1027 mbar
12-May-19,8:00 PM,14ʡC,84%,1028 mbar
12-May-19,9:00 PM,14ʡC,85%,1028 mbar
12-May-19,11:00 PM,14ʡC,92%,1027 mbar
13-May-19,12:00 AM,13ʡC,93%,1027 mbar
13-May-19,2:00 AM,13ʡC,93%,1027 mbar
13-May-19,3:00 AM,12ʡC,93%,1026 mbar
13-May-19,5:00 AM,11ʡC,93%,1026 mbar
13-May-19,6:00 AM,11ʡC,93%,1026 mbar
13-May-19,8:00 AM,12ʡC,93%,1027 mbar
13-May-19,9:00 AM,13ʡC,86%,1027 mbar
13-May-19,11:00 AM,16ʡC,68%,1026 mbar
13-May-19,12:00 PM,16ʡC,63%,1026 mbar
13-May-19,2:00 PM,17ʡC,56%,1024 mbar
13-May-19,3:00 PM,17ʡC,58%,1024 mbar
13-May-19,5:00 PM,16ʡC,58%,1024 mbar
13-May-19,6:00 PM,15ʡC,59%,1024 mbar
13-May-19,8:00 PM,13ʡC,68%,1026 mbar
13-May-19,9:00 PM,13ʡC,72%,1025 mbar
13-May-19,11:00 PM,13ʡC,72%,1025 mbar
14-May-19,12:00 AM,12ʡC,76%,1025 mbar
14-May-19,2:00 AM,10ʡC,91%,1025 mbar
14-May-19,3:00 AM,10ʡC,93%,1025 mbar
14-May-19,5:00 AM,8ʡC,94%,1026 mbar
14-May-19,6:00 AM,7ʡC,94%,1026 mbar
14-May-19,8:00 AM,11ʡC,93%,1027 mbar
14-May-19,9:00 AM,13ʡC,81%,1028 mbar
14-May-19,11:00 AM,17ʡC,69%,1028 mbar
14-May-19,12:00 PM,18ʡC,64%,1027 mbar
14-May-19,2:00 PM,19ʡC,58%,1027 mbar
14-May-19,3:00 PM,18ʡC,62%,1027 mbar
14-May-19,5:00 PM,16ʡC,70%,1028 mbar
14-May-19,6:00 PM,14ʡC,77%,1028 mbar
14-May-19,8:00 PM,13ʡC,93%,1030 mbar
14-May-19,9:00 PM,13ʡC,92%,1030 mbar
14-May-19,11:00 PM,12ʡC,93%,1030 mbar
15-May-19,12:00 AM,12ʡC,93%,1030 mbar
15-May-19,2:00 AM,10ʡC,95%,1030 mbar
15-May-19,3:00 AM,9ʡC,95%,1030 mbar
15-May-19,5:00 AM,10ʡC,96%,1030 mbar
15-May-19,6:00 AM,10ʡC,96%,1030 mbar
15-May-19,8:00 AM,11ʡC,95%,1031 mbar
15-May-19,9:00 AM,13ʡC,93%,1032 mbar
15-May-19,11:00 AM,14ʡC,67%,1032 mbar
15-May-19,12:00 PM,14ʡC,66%,1032 mbar
15-May-19,2:00 PM,16ʡC,61%,1030 mbar
15-May-19,3:00 PM,16ʡC,60%,1030 mbar
15-May-19,5:00 PM,14ʡC,70%,1030 mbar
15-May-19,6:00 PM,12ʡC,73%,1031 mbar
15-May-19,8:00 PM,10ʡC,92%,1031 mbar
15-May-19,9:00 PM,11ʡC,93%,1031 mbar
15-May-19,11:00 PM,12ʡC,92%,1030 mbar
16-May-19,12:00 AM,12ʡC,88%,1030 mbar
16-May-19,2:00 AM,11ʡC,92%,1029 mbar
16-May-19,3:00 AM,11ʡC,92%,1029 mbar
16-May-19,5:00 AM,11ʡC,93%,1029 mbar
16-May-19,6:00 AM,11ʡC,93%,1029 mbar
16-May-19,8:00 AM,11ʡC,94%,1029 mbar
16-May-19,9:00 AM,9ʡC,86%,1022 mbar
16-May-19,11:00 AM,14ʡC,67%,1029 mbar
16-May-19,12:00 PM,14ʡC,67%,1028 mbar
16-May-19,2:00 PM,16ʡC,60%,1027 mbar
16-May-19,3:00 PM,16ʡC,59%,1026 mbar
16-May-19,5:00 PM,14ʡC,64%,1026 mbar
16-May-19,6:00 PM,12ʡC,72%,1027 mbar
