Date,Time,Temp,Humidity,Barometer
01-May-19,12:00 AM,18ʡC,30%,1010 mbar
01-May-19,12:30 AM,18ʡC,32%,1011 mbar
01-May-19,1:00 AM,17ʡC,34%,1011 mbar
01-May-19,1:30 AM,17ʡC,34%,1011 mbar
01-May-19,2:00 AM,17ʡC,34%,1010 mbar
01-May-19,2:30 AM,15ʡC,42%,1010 mbar
01-May-19,3:00 AM,15ʡC,42%,1009 mbar
01-May-19,3:30 AM,16ʡC,39%,1009 mbar
01-May-19,4:00 AM,15ʡC,45%,1009 mbar
01-May-19,4:30 AM,16ʡC,45%,1009 mbar
01-May-19,5:00 AM,16ʡC,45%,1010 mbar
01-May-19,5:30 AM,19ʡC,43%,1010 mbar
01-May-19,6:00 AM,19ʡC,43%,1010 mbar
01-May-19,6:30 AM,19ʡC,49%,1010 mbar
01-May-19,7:00 AM,19ʡC,46%,1011 mbar
01-May-19,7:30 AM,19ʡC,46%,1011 mbar
01-May-19,8:00 AM,18ʡC,56%,1012 mbar
01-May-19,8:30 AM,17ʡC,73%,1012 mbar
01-May-19,9:00 AM,17ʡC,68%,1011 mbar
01-May-19,9:30 AM,18ʡC,60%,1012 mbar
01-May-19,10:00 AM,18ʡC,64%,1013 mbar
01-May-19,10:30 AM,18ʡC,73%,1013 mbar
01-May-19,11:20 AM,19ʡC,68%,1013 mbar
01-May-19,11:30 AM,19ʡC,68%,1013 mbar
01-May-19,12:00 PM,21ʡC,60%,1013 mbar
01-May-19,12:30 PM,21ʡC,60%,1012 mbar
01-May-19,1:00 PM,21ʡC,57%,1012 mbar
01-May-19,1:30 PM,21ʡC,57%,1012 mbar
01-May-19,2:00 PM,21ʡC,60%,1012 mbar
01-May-19,2:30 PM,21ʡC,60%,1012 mbar
01-May-19,3:00 PM,22ʡC,57%,1012 mbar
01-May-19,3:30 PM,20ʡC,69%,1012 mbar
01-May-19,4:00 PM,21ʡC,64%,1012 mbar
01-May-19,4:30 PM,20ʡC,69%,1012 mbar
01-May-19,5:00 PM,20ʡC,69%,1012 mbar
01-May-19,5:30 PM,20ʡC,69%,1013 mbar
01-May-19,6:00 PM,20ʡC,69%,1013 mbar
01-May-19,6:30 PM,20ʡC,69%,1013 mbar
01-May-19,7:00 PM,19ʡC,73%,1014 mbar
01-May-19,7:30 PM,20ʡC,69%,1014 mbar
01-May-19,8:00 PM,20ʡC,69%,1015 mbar
01-May-19,8:30 PM,20ʡC,73%,1014 mbar
01-May-19,9:00 PM,20ʡC,73%,1014 mbar
01-May-19,9:30 PM,20ʡC,73%,1014 mbar
01-May-19,10:00 PM,20ʡC,73%,1014 mbar
01-May-19,10:30 PM,20ʡC,69%,1014 mbar
01-May-19,11:00 PM,20ʡC,69%,1014 mbar
01-May-19,11:30 PM,19ʡC,73%,1014 mbar
02-May-19,12:00 AM,20ʡC,69%,1014 mbar
02-May-19,12:30 AM,20ʡC,69%,1013 mbar
02-May-19,1:00 AM,19ʡC,73%,1013 mbar
02-May-19,1:30 AM,19ʡC,73%,1014 mbar
02-May-19,2:00 AM,18ʡC,83%,1013 mbar
02-May-19,2:30 AM,18ʡC,83%,1014 mbar
02-May-19,3:00 AM,18ʡC,88%,1013 mbar
02-May-19,3:30 AM,18ʡC,88%,1013 mbar
02-May-19,4:00 AM,18ʡC,88%,1013 mbar
02-May-19,4:30 AM,18ʡC,88%,1014 mbar
02-May-19,5:00 AM,18ʡC,88%,1015 mbar
02-May-19,5:30 AM,16ʡC,88%,1016 mbar
02-May-19,6:00 AM,16ʡC,88%,1015 mbar
02-May-19,6:30 AM,16ʡC,88%,1016 mbar
02-May-19,7:00 AM,16ʡC,83%,1017 mbar
02-May-19,7:30 AM,16ʡC,83%,1017 mbar
02-May-19,8:00 AM,16ʡC,83%,1018 mbar
02-May-19,8:30 AM,16ʡC,83%,1018 mbar
02-May-19,9:00 AM,17ʡC,77%,1018 mbar
02-May-19,9:30 AM,15ʡC,82%,1019 mbar
02-May-19,10:00 AM,15ʡC,88%,1018 mbar
